,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,num1%3,num1/3,num2%3,num2/3,num3%3,num3/3,num4%3,num4/3,num5%3,num5/3,num6%3,num6/3,num7%3,num7/3,sup1%3,sup1/3,sup2%3,sup2/3
139,748,20080617,10,34,7,27,35,25,40,42,8,1,0,1,2,1,0,0,1,2,2,1,1,1,2,0,2,2,0
140,749,20080624,9,45,39,31,30,14,16,41,22,0,0,0,2,0,2,1,2,0,1,2,0,1,1,2,2,1,1
141,750,20080701,38,24,43,35,14,20,28,21,8,2,2,0,1,1,2,2,2,2,0,2,1,1,1,0,1,2,0
142,751,20080708,35,4,22,18,31,30,10,3,45,2,2,1,0,1,1,0,1,1,2,0,1,1,0,0,0,0,2
143,752,20080715,28,5,4,1,12,44,15,2,38,1,1,2,0,1,0,1,0,0,0,2,2,0,0,2,0,2,2
144,753,20080722,40,33,5,44,16,17,3,31,7,1,2,0,2,2,0,2,2,1,1,2,1,0,0,1,2,1,0
145,754,20080729,37,20,18,8,35,11,31,21,42,1,2,2,1,0,1,2,0,2,2,2,0,1,2,0,1,0,2
146,755,20080805,11,44,29,34,17,33,45,40,7,2,0,2,2,2,1,1,2,2,1,0,2,0,2,1,2,1,0
147,756,20080812,27,42,25,7,45,30,19,13,24,0,1,0,2,1,1,1,0,0,2,0,1,1,1,1,0,0,1
148,757,20080819,17,9,42,5,10,43,25,11,4,2,1,0,0,0,2,2,0,1,0,1,2,1,1,2,0,1,0
149,758,20080826,23,27,43,25,37,45,13,44,18,2,1,0,1,1,2,1,1,1,2,0,2,1,0,2,2,0,1
150,759,20080902,15,39,28,25,17,10,31,19,30,0,0,0,2,1,1,1,1,2,1,1,0,1,2,1,1,0,1
151,760,20080909,28,41,36,31,15,39,42,8,9,1,1,2,2,0,2,1,2,0,0,0,2,0,2,2,0,0,0
152,761,20080916,3,1,24,22,26,44,19,45,41,0,0,1,0,0,1,1,1,2,1,2,2,1,1,0,2,2,2
153,762,20080923,1,37,43,45,34,19,9,25,28,1,0,1,2,1,2,0,2,1,2,1,1,0,0,1,1,1,1
