draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2
961,20120717,32,34,20,3,17,4,16,38,41
962,20120724,31,20,40,36,6,29,43,17,2
963,20120731,14,20,1,17,19,8,5,18,2
964,20120807,4,15,38,19,28,3,44,42,25
965,20120814,42,14,19,7,28,4,18,27,40
966,20120821,5,35,18,33,36,32,44,4,39
967,20120828,35,42,26,39,28,25,12,18,5
968,20120904,34,6,32,18,44,20,33,2,23
969,20120911,26,9,20,10,1,12,32,19,17
970,20120918,12,17,11,6,14,16,7,10,39
971,20120925,40,45,15,35,5,44,29,12,36
972,20121002,28,33,2,15,11,13,41,17,16
973,20121009,12,15,1,22,33,4,43,45,30
974,20121016,45,16,5,4,23,44,8,36,24
975,20121023,21,27,41,14,16,2,25,43,32
976,20121030,26,21,31,4,8,5,16,41,32
977,20121106,29,43,8,7,15,2,13,21,20
978,20121113,8,12,3,37,7,17,39,32,23
979,20121120,19,24,39,34,26,43,44,31,5
980,20121127,9,13,33,22,16,34,1,4,5
981,20121204,1,3,21,31,7,14,24,10,34
982,20121211,25,12,21,3,15,5,30,32,20
983,20121218,36,19,15,43,12,41,22,38,1
984,20121225,28,16,2,32,15,20,5,10,24
985,20130101,39,25,19,28,42,8,30,44,43
986,20130108,13,40,35,30,39,1,15,33,25
987,20130115,28,17,21,44,34,36,7,31,25
988,20130122,30,1,27,14,39,28,24,17,8
989,20130129,39,36,6,22,38,19,34,40,17
990,20130205,19,27,45,42,30,37,17,8,18
991,20130212,43,5,16,3,42,2,28,27,39
992,20130219,1,27,41,20,2,18,35,22,28
993,20130226,10,8,18,7,34,12,23,35,26
994,20130305,27,3,5,26,2,44,11,19,45
995,20130312,3,38,21,10,28,40,8,19,42
996,20130319,11,1,37,33,40,26,7,27,2
997,20130326,44,14,25,43,19,21,18,20,12
998,20130402,35,17,12,44,42,40,7,36,30
999,20130409,8,6,32,23,45,3,36,21,15
1000,20130416,40,24,4,7,16,22,37,43,20
1001,20130423,41,35,19,12,27,39,7,8,21
1002,20130430,12,39,27,44,26,6,32,14,41
1003,20130507,31,44,35,28,16,24,18,4,20
1004,20130514,13,9,1,12,26,22,41,34,39
1005,20130521,3,43,19,23,2,41,39,11,33
1006,20130528,1,25,30,31,26,14,35,18,27
1007,20130604,18,17,41,22,26,2,5,10,40
1008,20130611,3,6,26,29,38,24,25,30,19
1009,20130618,31,20,9,40,1,35,29,44,27
1010,20130625,4,20,17,10,16,41,7,5,36
1011,20130702,45,13,38,42,31,20,15,35,18
1012,20130709,1,41,2,17,13,11,7,40,33
1013,20130716,42,33,9,6,2,43,36,21,35
1014,20130723,34,41,8,40,28,31,37,39,42
1015,20130730,7,29,39,21,16,3,13,9,43
1016,20130806,27,30,33,16,25,29,37,21,3
1017,20130813,1,31,11,14,43,30,33,27,15
1018,20130820,17,26,38,7,36,45,9,44,41
1019,20130827,7,31,19,28,18,33,37,10,21
1020,20130903,26,31,8,22,23,28,18,34,7
1021,20130910,21,20,29,40,12,37,18,13,8
1022,20130917,27,8,41,31,24,9,44,13,38
1023,20130924,20,43,10,33,14,42,37,9,40
1024,20131001,36,42,1,27,8,11,12,13,9
1025,20131008,32,45,38,24,5,39,28,29,30
1026,20131015,2,10,39,22,18,5,36,1,11
1027,20131022,7,21,15,42,24,28,20,8,40
1028,20131029,45,43,32,39,29,7,13,36,16
1029,20131105,17,45,10,37,18,3,6,25,19
1030,20131112,6,36,5,38,8,29,30,43,16
1031,20131119,44,7,37,9,30,42,19,11,33
1032,20131126,31,26,12,24,40,6,5,11,43
1033,20131203,21,33,20,23,40,2,19,18,44
1034,20131210,35,20,38,11,42,9,43,32,8
1035,20131217,26,24,20,17,34,39,36,22,23
1036,20131224,4,6,36,22,24,42,33,7,16
1037,20131231,13,41,4,9,36,14,7,43,44
1038,20140107,28,17,19,14,21,20,29,1,45
1039,20140114,40,22,45,21,36,44,24,4,38
1040,20140121,31,23,7,42,1,29,16,30,15
1041,20140128,4,25,31,26,14,36,22,30,12
1042,20140204,44,43,26,3,39,22,5,8,15
1043,20140211,28,38,22,36,7,15,20,26,21
1044,20140218,1,11,30,27,36,4,7,19,25
1045,20140225,20,38,34,21,3,16,37,6,13
1046,20140304,41,38,30,34,42,24,32,28,13
1047,20140311,16,17,22,14,19,43,41,44,7
1048,20140318,4,19,24,33,30,2,38,20,3
1049,20140325,45,40,33,16,29,23,15,41,22
1050,20140401,31,10,19,40,16,1,21,42,17
1051,20140408,24,35,6,25,18,12,19,23,31
1052,20140415,35,5,22,27,17,31,29,38,12
1053,20140422,36,5,30,12,4,43,35,40,16
1054,20140429,12,7,25,35,10,4,1,33,5
1055,20140506,28,11,15,25,3,29,41,4,43
1056,20140513,14,26,35,4,6,23,20,40,19
1057,20140520,16,5,26,4,31,39,7,32,9
1058,20140527,32,12,3,23,40,2,19,6,37
1059,20140603,21,35,40,20,14,5,8,22,41
1060,20140610,16,44,2,17,1,32,34,35,5
1061,20140617,7,41,1,3,36,23,37,32,10
1062,20140624,36,12,32,41,40,8,26,10,2
1063,20140701,10,19,44,20,15,1,11,28,4
